method,shape,run,fitness,convergence_gen
Phenotype-First,Plus,8,1.0,0
Phenotype-First,Plus,9,1.0,0
Phenotype-First,Plus,10,1.0,0
Phenotype-First,Plus,11,1.0,0
Phenotype-First,Plus,12,1.0,0
Phenotype-First,Plus,13,1.0,0
Phenotype-First,Plus,14,1.0,0
Phenotype-First,Plus,15,1.0,0
Phenotype-First,Plus,16,1.0,0
Phenotype-First,Plus,17,1.0,0
Phenotype-First,Plus,18,1.0,0
Phenotype-First,Plus,19,1.0,0
Phenotype-First,Plus,20,1.0,0
Phenotype-First,Plus,21,1.0,0
Phenotype-First,Plus,22,1.0,0
Phenotype-First,Plus,23,1.0,0
Phenotype-First,Plus,24,1.0,0
Phenotype-First,Plus,25,1.0,0
Phenotype-First,Plus,26,1.0,0
Phenotype-First,Plus,27,1.0,0
Phenotype-First,Plus,28,1.0,0
Phenotype-First,Plus,29,1.0,0
Phenotype-First,Plus,30,1.0,0
